date,location,Zip Code,state,year,fatalities,injured,totalvictims,percfatal,venue,priorsignsofpossiblementalillnes,weaponsobtainedlegally,race,gender,age,legalgun,handguns,revolvers,shotguns,assaultguns,religious,school,workplace,poss_mental,minority,ar_ban,bradybill,depmed,offdepmed,med,reasonmed,onoroff,timeonmed,arrested,suicide,police,highcapacityclip,deathpenalty,statepermittopurchase,firearmregistration,assaultweaponlaw,ownerlicenserequired,concealedcarryweaponccwpermitsis,opencarry,nfaweaponsrestricted,peaceablejourneylaws,castledoctrinestandyourground,gunswithhighcapacitymagizines,assaultweaponsbydefinitionofnewl,Type
20041118,"St Pettersburg, Fl",,FL,2004,2,1,3,0.666666,Other,No,Yes,White,Male,25,1,1,0,0,0,0,0,0,0,0,0,1,0,0,None,None,None,None,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,Spree
20040702,"Kansas City, KS",,KS,2004,6,2,8,0.75,Work,No,Yes,Black,Male,21,1,1,0,0,0,0,0,1,0,1,0,1,0,0,None,None,None,None,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,Mass
20031106,"Chester, OH",,OH,2003,2,3,5,0.4,Work,No,Yes,white,Male,50,1,2,0,0,0,0,0,1,0,0,0,1,0,0,None,None,None,None,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,Spree
20030924,"Cold Spring, MN",,MN,2003,2,0,2,1,School,No,Yes,white,Male,15,1,1,0,0,0,0,1,0,0,0,0,1,0,0,None,None,None,None,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,Shooter
20030827,"Chicago, IL",,IL,2003,6,0,6,1,Work,No,Yes,other,Male,36,1,1,0,0,0,0,0,1,0,1,0,1,0,0,None,None,None,None,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,Mass
20030819,"Andover, OH",,OH,2003,1,2,3,0.3333,Work,No,Yes,white,Male,32,1,4,0,0,0,0,0,1,0,0,0,1,0,0,None,None,None,None,0,1,0,1,1,0,0,0,0,1,1,1,0,1,2,0,Spree
20030728,"Boyton, FL",,FL,2003,3,0,3,1,Work,No,Yes,Latino,Male,45,1,1,0,0,0,0,0,1,0,1,0,1,0,0,None,None,None,None,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,Spree
20030708,"Meridian, Mississippi",,MS,2003,7,8,15,0.46669999,Work,Yes,Yes,white,Male,48,1,1,1,1,2,0,0,1,1,0,0,1,0,0,None,None,None,None,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,Mass
20030701,"Jefferson City, MO",,MO,2003,3,5,8,0.375,Work,No,Yes,white,Male,25,1,1,0,0,0,0,0,1,0,0,0,1,0,0,None,None,None,None,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,Spree
20030509,"Cleveland, OH",,OH,2003,1,2,3,0.3333,School,No,Yes,Other,Male,62,1,1,0,0,1,0,1,0,0,1,0,1,0,0,None,None,None,None,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,Shooter
20030225,Huntsville AL,,AL,2003,4,1,5,0.8,Other,No,Yes,Black,Male,23,1,1,0,0,0,0,0,0,0,1,0,1,0,0,None,None,None,None,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,Spree
20021026,"Sallisaw, OK",,OK,2002,2,8,10,0.2,Other,No,Yes,Black,Male,18,1,0,0,1,0,0,0,0,0,1,0,1,0,0,None,None,None,None,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,Spree
20020704,"Los Angeles, CA",,CA,2002,2,2,4,0.5,Other,No,Yes,other,Male,43,1,2,0,0,0,0,0,0,0,1,1,1,0,0,None,None,None,None,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,Shooter
20020322,"South Bend, IN",,IN,2002,4,5,9,0.444444444,Work,No,Yes,white,Male,54,1,0,0,1,1,0,0,1,0,0,0,1,0,0,None,None,None,None,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,Spree
20020116,"Grundy, VA",,VA,2002,3,3,6,0.5,School,No,Yes,white,Male,43,1,1,0,0,0,0,1,0,0,0,0,1,0,0,None,None,None,None,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,Spree
20011206,"Goshen, IN",,IN,2001,1,6,7,0.142857143,Work,No,Yes,white,Male,36,1,0,0,1,0,0,1,0,0,0,0,1,0,0,None,None,None,None,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,Shooter
20010423,"San jose, CA",,CA,2001,1,3,4,0.25,Work,No,Yes,white,Female,36,1,1,0,0,0,0,0,1,0,0,1,1,0,0,None,None,None,None,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,Shooter
20010322,"El Cajon, CA",,CA,2001,0,5,5,0,School,No,Yes,white,Male,18,1,1,0,1,0,0,1,0,0,0,1,1,0,0,None,None,None,None,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,Shooter
20010205,"Santee, CA",,CA,2001,2,13,15,0.133333333,School,No,Yes,white,Male,15,1,1,0,0,0,0,1,0,0,0,1,1,0,0,None,None,None,None,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,Spree
20010205,"Melrose Park, Illinois",,IL,2001,5,4,9,0.55559999,Work,No,Yes,black,Male,66,1,0,1,1,2,0,0,1,0,1,0,1,0,0,None,None,None,None,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,Mass
20010109,"Houston, TX",,TX,2001,5,0,5,1,Other,No,Yes,Asian,Male,54,1,1,0,0,0,0,0,0,0,0,0,1,0,0,None,None,None,None,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,Spree
20001226,"Wakefield, Massachusetts",,MA,2000,7,0,7,1,Work,Yes,Yes,white,Male,42,1,1,0,1,1,0,0,1,1,0,1,1,1,1,Luvox,Depression,On,2 weeks,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,Mass
19991230,"Tampa, Florida",,FL,1999,5,3,8,0.625,Work,Yes,Yes,Latino,Male,36,1,1,1,0,0,0,0,1,1,1,0,1,0,0,None,None,None,None,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Mass
